#N  AFEB pos.   AFEB num.  Int. cap. (pF)       U(mv)20fc       Gain    Offset
1       1       12080410        0.239           92      7.06            49.02
2       2       12080349        0.212           65      6.99            75.15
3       3       12080021        0.211           94      7.34            52.45
4       4       12080293        0.239           88      7.28            57.79
5       5       12080159        0.231           86      6.47            42.97
6       6       12080742        0.224           84      7.01            56.66
7       7       12080378        0.195           120     7.08            21.18
8       8       12080743        0.206           80      7.06            61.34
9       9       12080667        0.225           78      7.11            64.39
10      10      12080091        0.249           55      6.71            79.2
11      11      12080633        0.229           85      6.97            53.9
12      12      12080264        0.215           86      7.02            54.76
13      13      12080218        0.211           104     7.04            36.89
14      14      12080255        0.209           86      7.12            56.05
15      15      12080456        0.207           110     6.79            25.91
16      16      12080530        0.205           88      7               52.13
17      17      12080468        0.197           95      7.25            49.78
18      18      12080463        0.242           87      6.54            44.16
19      19      12080294        0.222           79      7.12            63.09
20      20      12080434        0.223           55      6.89            83.07
21      21      12080442        0.215           85      6.91            53.18
22      23      12080499        0.198           107     7.14            35.36
23      23      12080044        0.207           94      6.97            44.95
24      24      12080454        0.209           100     7.08            41.44

